fitness type,problem name,run with evosuite,mutation seed,selection seed,number of fixed patch,number of unique fixed patch,number of unique fixed patch passed evosuite,number of evaluations to find first fixed patch,minimum number of edits to find a fix,number of better patches,ratio of better patches,number of equal patches,ratio of equal patches
arjae,quicksort,False,113510,482552,128,110,110,9,1,128,0.3192019950124688,9,0.022443890274314215
arjae,quicksort,False,224343,631148,58,34,34,98,1,58,0.14463840399002495,50,0.12468827930174564
arjae,quicksort,False,248796,90487,124,101,101,6,1,124,0.3092269326683292,12,0.029925187032418952
arjae,quicksort,False,271745,811038,112,87,87,2,1,112,0.2793017456359102,13,0.032418952618453865
arjae,quicksort,False,27873,382726,94,72,72,2,1,94,0.2344139650872818,9,0.022443890274314215
arjae,quicksort,False,336801,895040,82,53,53,5,1,82,0.20448877805486285,19,0.04738154613466334
arjae,quicksort,False,37056,479723,73,48,48,15,1,73,0.18204488778054864,20,0.04987531172069826
arjae,quicksort,False,421560,407690,96,68,68,1,1,96,0.23940149625935161,12,0.029925187032418952
arjae,quicksort,False,447903,944263,145,121,121,12,1,145,0.36159600997506236,29,0.07231920199501247
arjae,quicksort,False,455076,129428,93,67,67,9,1,93,0.23192019950124687,17,0.04239401496259352
arjae,quicksort,False,611108,559145,99,73,73,59,1,99,0.24688279301745636,25,0.06234413965087282
arjae,quicksort,False,618657,283837,50,40,40,15,1,50,0.12468827930174564,40,0.09975062344139651
arjae,quicksort,False,62407,672971,78,44,44,29,1,78,0.19451371571072318,37,0.09226932668329177
arjae,quicksort,False,678246,454041,77,55,55,98,1,77,0.19201995012468828,29,0.07231920199501247
arjae,quicksort,False,726812,242655,82,54,48,55,1,82,0.20448877805486285,29,0.07231920199501247
arjae,quicksort,False,830793,985550,85,60,60,3,1,85,0.2119700748129676,20,0.04987531172069826
arjae,quicksort,False,863700,632521,123,104,104,6,1,123,0.30673316708229426,10,0.02493765586034913
arjae,quicksort,False,918009,212627,77,53,53,47,1,77,0.19201995012468828,42,0.10473815461346633
arjae,quicksort,False,952825,339811,99,77,77,11,1,99,0.24688279301745636,16,0.0399002493765586
arjae,quicksort,False,968421,264358,119,94,94,2,1,119,0.2967581047381546,24,0.059850374064837904
arjae,rpn_eval,False,233886,650920,94,74,74,33,2,97,0.24189526184538654,36,0.08977556109725686
arjae,rpn_eval,False,270347,129367,99,81,74,20,1,116,0.2892768079800499,32,0.0798004987531172
arjae,rpn_eval,False,27851,565441,0,0,0,999999,999999,0,0.0,87,0.2169576059850374
arjae,rpn_eval,False,29964,327586,29,19,19,1,1,31,0.0773067331670823,82,0.20448877805486285
arjae,rpn_eval,False,359021,343822,0,0,0,999999,999999,0,0.0,100,0.24937655860349128
arjae,rpn_eval,False,363558,556380,0,0,0,999999,999999,0,0.0,91,0.22693266832917705
arjae,rpn_eval,False,380109,433835,23,16,16,137,2,33,0.08229426433915212,59,0.14713216957605985
arjae,rpn_eval,False,383457,679849,37,22,21,165,1,46,0.11471321695760599,64,0.1596009975062344
arjae,rpn_eval,False,433008,755558,0,0,0,999999,999999,0,0.0,102,0.2543640897755611
arjae,rpn_eval,False,470983,844013,5,4,4,282,2,9,0.022443890274314215,83,0.20698254364089774
arjae,rpn_eval,False,516787,768280,0,0,0,999999,999999,1,0.0024937655860349127,97,0.24189526184538654
arjae,rpn_eval,False,540119,724396,44,38,11,131,1,63,0.1571072319201995,40,0.09975062344139651
arjae,rpn_eval,False,549621,143878,41,25,23,131,1,60,0.14962593516209477,40,0.09975062344139651
arjae,rpn_eval,False,585418,318854,41,27,26,165,1,50,0.12468827930174564,78,0.19451371571072318
arjae,rpn_eval,False,586945,881305,63,48,37,59,1,77,0.19201995012468828,39,0.09725685785536159
arjae,rpn_eval,False,628382,278944,90,67,49,70,1,101,0.2518703241895262,42,0.10473815461346633
arjae,rpn_eval,False,653837,35530,41,26,0,206,1,48,0.11970074812967581,63,0.1571072319201995
arjae,rpn_eval,False,859456,281277,61,47,47,94,1,66,0.16458852867830423,52,0.12967581047381546
arjae,rpn_eval,False,881554,722267,9,7,7,308,1,14,0.034912718204488775,80,0.19950124688279303
arjae,rpn_eval,False,89986,99065,60,39,37,29,1,66,0.16458852867830423,56,0.1396508728179551
decision,quicksort,False,295162,541592,111,91,91,10,1,111,0.27680798004987534,32,0.0798004987531172
decision,quicksort,False,316694,611410,97,68,68,40,1,97,0.24189526184538654,16,0.0399002493765586
decision,quicksort,False,349964,164879,136,109,109,1,1,136,0.33915211970074816,12,0.029925187032418952
decision,quicksort,False,380516,857565,92,62,62,8,1,92,0.22942643391521197,19,0.04738154613466334
decision,quicksort,False,43104,269704,67,38,38,2,1,67,0.16708229426433915,26,0.06483790523690773
decision,quicksort,False,450617,655976,58,33,33,50,1,58,0.14463840399002495,38,0.09476309226932668
decision,quicksort,False,46118,189186,62,36,36,24,1,62,0.1546134663341646,41,0.10224438902743142
decision,quicksort,False,490516,330121,105,88,88,12,1,105,0.26184538653366585,20,0.04987531172069826
decision,quicksort,False,553361,303608,121,94,64,1,1,121,0.30174563591022446,21,0.05236907730673317
decision,quicksort,False,558944,559955,77,54,54,6,1,77,0.19201995012468828,27,0.06733167082294264
decision,quicksort,False,569932,343724,93,72,72,5,1,93,0.23192019950124687,31,0.0773067331670823
decision,quicksort,False,593109,715369,63,48,48,93,1,63,0.1571072319201995,34,0.08478802992518704
decision,quicksort,False,614695,608187,80,54,54,5,1,80,0.19950124688279303,21,0.05236907730673317
decision,quicksort,False,634993,556163,92,64,64,55,1,92,0.22942643391521197,34,0.08478802992518704
