fitness type,problem name,run with evosuite,mutation seed,selection seed,number of fixed patch,number of unique fixed patch,number of unique fixed patch passed evosuite,number of evaluations to find first fixed patch,minimum number of edits to find a fix,number of better patches,ratio of better patches,number of equal patches,ratio of equal patches
arjae,depth_first_search,FALSE,10868,686330,0,0,0,999999,999999,0,0,141,0.351620948
arjae,depth_first_search,FALSE,180096,335274,0,0,0,999999,999999,0,0,141,0.351620948
arjae,depth_first_search,FALSE,224555,993877,0,0,0,999999,999999,0,0,127,0.316708229
arjae,depth_first_search,FALSE,243502,810498,0,0,0,999999,999999,0,0,149,0.371571072
arjae,depth_first_search,FALSE,252301,120821,0,0,0,999999,999999,0,0,138,0.344139651
arjae,depth_first_search,FALSE,302002,538845,0,0,0,999999,999999,0,0,163,0.406483791
arjae,depth_first_search,FALSE,391909,954800,0,0,0,999999,999999,0,0,149,0.371571072
arjae,depth_first_search,FALSE,394033,546922,0,0,0,999999,999999,0,0,166,0.413965087
arjae,depth_first_search,FALSE,421339,996382,0,0,0,999999,999999,0,0,127,0.316708229
arjae,depth_first_search,FALSE,42884,32521,0,0,0,999999,999999,0,0,143,0.356608479
arjae,depth_first_search,FALSE,484400,896403,0,0,0,999999,999999,0,0,145,0.36159601
arjae,depth_first_search,FALSE,55223,423963,0,0,0,999999,999999,0,0,157,0.391521197
arjae,depth_first_search,FALSE,555138,654087,0,0,0,999999,999999,0,0,146,0.364089776
arjae,depth_first_search,FALSE,647724,474016,0,0,0,999999,999999,0,0,136,0.33915212
arjae,depth_first_search,FALSE,648905,105773,0,0,0,999999,999999,0,0,134,0.334164589
arjae,depth_first_search,FALSE,784993,4040,0,0,0,999999,999999,0,0,139,0.346633416
arjae,depth_first_search,FALSE,791068,566118,0,0,0,999999,999999,0,0,117,0.291770574
arjae,depth_first_search,FALSE,841511,972337,0,0,0,999999,999999,0,0,144,0.359102244
arjae,depth_first_search,FALSE,851076,113243,0,0,0,999999,999999,0,0,153,0.381546135
arjae,depth_first_search,FALSE,876299,387745,0,0,0,999999,999999,0,0,146,0.364089776
arjae,detect_cycle,FALSE,140191,86343,0,0,0,999999,999999,0,0,117,0.291770574
arjae,detect_cycle,FALSE,185055,677425,0,0,0,999999,999999,0,0,100,0.249376559
arjae,detect_cycle,FALSE,214578,180050,0,0,0,999999,999999,0,0,95,0.236907731
arjae,detect_cycle,FALSE,323402,407312,0,0,0,999999,999999,0,0,110,0.274314214
arjae,detect_cycle,FALSE,372282,698728,0,0,0,999999,999999,0,0,93,0.2319202
arjae,detect_cycle,FALSE,47752,59361,35,23,23,171,2,35,0.087281796,63,0.157107232
arjae,detect_cycle,FALSE,508007,114257,0,0,0,999999,999999,0,0,93,0.2319202
arjae,detect_cycle,FALSE,516194,966966,0,0,0,999999,999999,0,0,89,0.221945137
arjae,detect_cycle,FALSE,52154,802046,0,0,0,999999,999999,0,0,114,0.284289277
arjae,detect_cycle,FALSE,539925,407136,0,0,0,999999,999999,0,0,93,0.2319202
arjae,detect_cycle,FALSE,567582,259873,0,0,0,999999,999999,0,0,106,0.264339152
arjae,detect_cycle,FALSE,633356,733947,0,0,0,999999,999999,0,0,109,0.271820449
arjae,detect_cycle,FALSE,639120,17175,0,0,0,999999,999999,0,0,105,0.261845387
arjae,detect_cycle,FALSE,651225,896605,0,0,0,999999,999999,0,0,104,0.259351621
arjae,detect_cycle,FALSE,706083,356124,0,0,0,999999,999999,0,0,92,0.229426434
arjae,detect_cycle,FALSE,730451,771340,0,0,0,999999,999999,0,0,96,0.239401496
arjae,detect_cycle,FALSE,779855,945707,0,0,0,999999,999999,0,0,100,0.249376559
arjae,detect_cycle,FALSE,821115,532407,0,0,0,999999,999999,0,0,112,0.279301746
arjae,detect_cycle,FALSE,871524,943901,0,0,0,999999,999999,0,0,101,0.251870324
arjae,detect_cycle,FALSE,952465,834140,0,0,0,999999,999999,0,0,104,0.259351621
arjae,find_in_sorted,FALSE,139686,537977,0,0,0,999999,999999,124,0.154613466,161,0.20074813
arjae,find_in_sorted,FALSE,159292,987408,0,0,0,999999,999999,110,0.137157107,163,0.203241895
arjae,find_in_sorted,FALSE,161508,55517,0,0,0,999999,999999,102,0.127182045,178,0.221945137
arjae,find_in_sorted,FALSE,184361,733829,0,0,0,999999,999999,150,0.187032419,157,0.195760599
arjae,find_in_sorted,FALSE,20308,607704,0,0,0,999999,999999,89,0.110972569,141,0.175810474
arjae,find_in_sorted,FALSE,219583,749697,0,0,0,999999,999999,103,0.128428928,159,0.198254364
arjae,find_in_sorted,FALSE,271963,565843,0,0,0,999999,999999,112,0.139650873,150,0.187032419
arjae,find_in_sorted,FALSE,354659,530358,0,0,0,999999,999999,62,0.077306733,179,0.22319202
arjae,find_in_sorted,FALSE,417364,462788,0,0,0,999999,999999,176,0.219451372,193,0.240648379
arjae,find_in_sorted,FALSE,508298,558839,0,0,0,999999,999999,134,0.167082294,140,0.174563591
arjae,find_in_sorted,FALSE,550337,274840,0,0,0,999999,999999,90,0.112219451,152,0.189526185
arjae,find_in_sorted,FALSE,672228,368232,0,0,0,999999,999999,109,0.135910224,167,0.208229426
arjae,find_in_sorted,FALSE,688715,495049,0,0,0,999999,999999,146,0.182044888,155,0.193266833
arjae,find_in_sorted,FALSE,75005,497135,0,0,0,999999,999999,79,0.098503741,136,0.16957606
arjae,find_in_sorted,FALSE,760434,866295,0,0,0,999999,999999,104,0.12967581,146,0.182044888
arjae,find_in_sorted,FALSE,805855,178543,0,0,0,999999,999999,78,0.097256858,193,0.240648379
arjae,find_in_sorted,FALSE,839348,196212,0,0,0,999999,999999,110,0.137157107,154,0.19201995
arjae,find_in_sorted,FALSE,908167,818736,0,0,0,999999,999999,95,0.118453865,169,0.210723192
arjae,find_in_sorted,FALSE,91644,375215,0,0,0,999999,999999,103,0.128428928,146,0.182044888
arjae,find_in_sorted,FALSE,971136,769859,0,0,0,999999,999999,56,0.069825436,145,0.180798005
arjae,get_factors,FALSE,106419,581538,0,0,0,999999,999999,102,0.25436409,93,0.2319202
arjae,get_factors,FALSE,124522,31968,0,0,0,999999,999999,103,0.256857855,101,0.251870324
arjae,get_factors,FALSE,165469,857092,0,0,0,999999,999999,10,0.024937656,180,0.448877805
arjae,get_factors,FALSE,203711,200244,107,106,0,21,1,137,0.341645885,72,0.179551122
arjae,get_factors,FALSE,221943,429492,0,0,0,999999,999999,123,0.306733167,86,0.21446384
arjae,get_factors,FALSE,26054,721111,0,0,0,999999,999999,130,0.324189526,86,0.21446384
arjae,get_factors,FALSE,313420,146130,85,83,0,14,2,105,0.261845387,94,0.234413965
arjae,get_factors,FALSE,314363,271501,0,0,0,999999,999999,71,0.177057357,106,0.264339152
arjae,get_factors,FALSE,36631,237826,0,0,0,999999,999999,140,0.349127182,62,0.154613466
arjae,get_factors,FALSE,425748,433171,53,53,0,107,2,117,0.291770574,76,0.189526185
arjae,get_factors,FALSE,431078,650567,1,1,0,117,1,64,0.159600998,129,0.321695761
arjae,get_factors,FALSE,488853,310336,70,70,0,77,1,129,0.321695761,65,0.162094763
arjae,get_factors,FALSE,55504,705861,0,0,0,999999,999999,95,0.236907731,81,0.201995012
arjae,get_factors,FALSE,629748,171992,31,31,0,222,6,116,0.289276808,67,0.167082294
arjae,get_factors,FALSE,641442,32717,0,0,0,999999,999999,102,0.25436409,77,0.19201995
arjae,get_factors,FALSE,721814,926019,10,10,0,319,8,103,0.256857855,93,0.2319202
arjae,get_factors,FALSE,725454,303792,18,17,0,9,1,62,0.154613466,106,0.264339152
arjae,get_factors,FALSE,812520,960965,16,16,0,278,9,128,0.319201995,79,0.197007481
arjae,get_factors,FALSE,822259,199163,0,0,0,999999,999999,2,0.004987531,195,0.486284289
arjae,get_factors,FALSE,981798,221474,1,1,0,9,2,161,0.401496259,45,0.112219451
arjae,is_valid_parenthesization,FALSE,111389,615726,0,0,0,999999,999999,0,0,140,0.349127182
arjae,is_valid_parenthesization,FALSE,126150,245013,0,0,0,999999,999999,0,0,115,0.286783042
arjae,is_valid_parenthesization,FALSE,250224,243682,0,0,0,999999,999999,0,0,137,0.341645885
arjae,is_valid_parenthesization,FALSE,292505,766750,0,0,0,999999,999999,0,0,108,0.269326683
arjae,is_valid_parenthesization,FALSE,330333,823050,0,0,0,999999,999999,0,0,107,0.266832918
arjae,is_valid_parenthesization,FALSE,383110,909908,0,0,0,999999,999999,0,0,198,0.493765586
arjae,is_valid_parenthesization,FALSE,388974,235863,0,0,0,999999,999999,0,0,78,0.194513716
arjae,is_valid_parenthesization,FALSE,43775,971906,0,0,0,999999,999999,0,0,109,0.271820449
arjae,is_valid_parenthesization,FALSE,501067,363153,0,0,0,999999,999999,0,0,233,0.581047382
arjae,is_valid_parenthesization,FALSE,54203,458787,0,0,0,999999,999999,0,0,166,0.413965087
arjae,is_valid_parenthesization,FALSE,549706,747817,0,0,0,999999,999999,0,0,70,0.174563591
arjae,is_valid_parenthesization,FALSE,682491,291536,0,0,0,999999,999999,0,0,131,0.326683292
arjae,is_valid_parenthesization,FALSE,693079,23660,0,0,0,999999,999999,0,0,129,0.321695761
arjae,is_valid_parenthesization,FALSE,742959,512493,0,0,0,999999,999999,0,0,79,0.197007481
arjae,is_valid_parenthesization,FALSE,784508,362715,0,0,0,999999,999999,0,0,108,0.269326683
arjae,is_valid_parenthesization,FALSE,870716,306761,0,0,0,999999,999999,0,0,143,0.356608479
arjae,is_valid_parenthesization,FALSE,894971,828023,0,0,0,999999,999999,0,0,152,0.379052369
arjae,is_valid_parenthesization,FALSE,899241,856962,0,0,0,999999,999999,0,0,227,0.566084788
arjae,is_valid_parenthesization,FALSE,934841,665704,0,0,0,999999,999999,0,0,140,0.349127182
arjae,is_valid_parenthesization,FALSE,983271,554100,0,0,0,999999,999999,0,0,121,0.301745636
arjae,knapsack,FALSE,122108,779483,2,2,2,99,2,20,0.049875312,27,0.067331671
arjae,knapsack,FALSE,15746,639679,0,0,0,999999,999999,0,0,52,0.12967581
arjae,knapsack,FALSE,168336,586729,19,19,19,17,2,32,0.079800499,41,0.102244389
arjae,knapsack,FALSE,198052,415315,0,0,0,999999,999999,0,0,31,0.077306733
arjae,knapsack,FALSE,200177,17453,0,0,0,999999,999999,0,0,45,0.112219451
arjae,knapsack,FALSE,247439,337885,38,38,38,16,1,95,0.236907731,18,0.044887781
arjae,knapsack,FALSE,314222,468518,0,0,0,999999,999999,0,0,49,0.122194514
arjae,knapsack,FALSE,315866,471027,0,0,0,999999,999999,0,0,49,0.122194514
arjae,knapsack,FALSE,382385,358139,2,1,1,270,1,2,0.004987531,52,0.12967581
arjae,knapsack,FALSE,449898,889860,6,6,6,147,1,30,0.074812968,29,0.072319202
arjae,knapsack,FALSE,455862,839354,0,0,0,999999,999999,0,0,60,0.149625935
arjae,knapsack,FALSE,534323,230240,0,0,0,999999,999999,0,0,60,0.149625935
arjae,knapsack,FALSE,55875,623672,0,0,0,999999,999999,0,0,43,0.10723192
arjae,knapsack,FALSE,617971,160421,2,2,2,164,1,13,0.032418953,27,0.067331671
arjae,knapsack,FALSE,670294,145721,0,0,0,999999,999999,0,0,61,0.152119701
arjae,knapsack,FALSE,697753,207224,0,0,0,999999,999999,0,0,69,0.172069825
arjae,knapsack,FALSE,740925,523480,0,0,0,999999,999999,0,0,41,0.102244389
