problem,fitness type,run with fix,number of all fixed patch,average number of fix patch per run,average ratio of fixed patch is unique,average ratio of unique patch can pass evosuite,number of evaluations to find first fixed patch,minimum number of edits to find a fix,ratio of better fitness patches,ratio of same fitness patches
depth_first_search,arjae,0,0,0.00,nan%,nan%,999999,999999,0.00%,35.67%
depth_first_search,decision,0,0,0.00,nan%,nan%,999999,999999,0.00%,34.78%
depth_first_search,original,0,0,0.00,nan%,nan%,999999,999999,25.62%,21.91%
detect_cycle,arjae,1,35,1.75,65.71%,100.00%,171,2,0.44%,24.89%
detect_cycle,decision,1,48,2.40,75.00%,100.00%,81,2,0.60%,24.68%
detect_cycle,original,3,153,7.65,76.90%,100.00%,41,2,43.60%,6.28%
find_in_sorted,arjae,0,0,0.00,nan%,nan%,999999,999999,13.29%,19.85%
find_in_sorted,decision,0,0,0.00,nan%,nan%,999999,999999,13.00%,19.99%
find_in_sorted,original,0,0,0.00,nan%,nan%,999999,999999,49.62%,5.25%
get_factors,arjae,10,392,19.60,99.12%,0.00%,9,1,24.94%,23.60%
get_factors,decision,9,341,17.05,97.78%,0.00%,9,1,32.16%,20.02%
get_factors,original,8,239,11.95,99.43%,0.00%,4,1,25.11%,24.23%
is_valid_parenthesization,arjae,0,0,0.00,nan%,nan%,999999,999999,0.00%,33.55%
is_valid_parenthesization,decision,0,0,0.00,nan%,nan%,999999,999999,0.00%,31.22%
is_valid_parenthesization,original,1,91,4.55,100.00%,67.03%,42,2,59.53%,2.04%
knapsack,arjae,8,72,3.60,87.50%,100.00%,16,1,2.44%,11.06%
knapsack,decision,11,99,4.95,93.15%,100.00%,1,1,3.20%,11.77%
knapsack,original,11,89,4.45,96.97%,99.79%,2,1,1.72%,11.33%
levenshtein,arjae,5,488,24.40,86.67%,99.46%,3,1,49.03%,5.60%
levenshtein,decision,9,1003,50.15,85.02%,100.00%,7,1,49.99%,4.70%
levenshtein,original,6,729,36.45,84.03%,100.00%,2,1,38.24%,20.41%
lis,arjae,3,63,3.15,99.02%,100.00%,121,1,8.67%,6.76%
lis,decision,0,0,0.00,nan%,nan%,999999,999999,9.34%,6.47%
lis,original,5,118,5.90,97.96%,66.24%,14,1,10.85%,6.02%
mergesort,arjae,0,0,0.00,nan%,nan%,999999,999999,0.00%,47.88%
mergesort,decision,0,0,0.00,nan%,nan%,999999,999999,0.00%,48.75%
mergesort,original,1,1,0.05,100.00%,100.00%,779,4,0.01%,48.35%
next_permutation,arjae,15,366,18.30,99.05%,99.14%,2,1,21.17%,25.24%
next_permutation,decision,17,748,37.40,99.77%,100.00%,1,1,26.31%,22.12%
next_permutation,original,16,452,22.60,96.88%,100.00%,9,1,19.39%,25.21%
powerset,arjae,0,0,0.00,nan%,nan%,999999,999999,3.15%,24.98%
powerset,decision,0,0,0.00,nan%,nan%,999999,999999,0.80%,26.70%
powerset,original,0,0,0.00,nan%,nan%,999999,999999,1.23%,27.58%
quicksort,arjae,20,1894,94.70,73.26%,99.44%,1,1,23.62%,5.76%
quicksort,decision,20,1870,93.50,71.12%,98.15%,1,1,23.32%,5.92%
quicksort,original,20,1822,91.10,74.49%,100.00%,1,1,23.37%,6.52%
rpn_eval,arjae,15,737,36.85,72.14%,83.28%,1,1,10.95%,16.50%
rpn_eval,decision,8,285,14.25,76.20%,77.02%,39,1,4.00%,21.36%
rpn_eval,original,12,596,29.80,73.96%,79.72%,5,1,9.59%,19.31%
