fitness type,problem name,run with evosuite,mutation seed,selection seed,number of fixed patch,number of unique fixed patch,number of unique fixed patch passed evosuite,number of evaluations to find first fixed patch,minimum number of edits to find a fix,number of better patches,ratio of better patches,number of equal patches,ratio of equal patches
arjae,get_factors,False,106419,581538,0,0,0,999999,999999,102,0.2543640897755611,93,0.23192019950124687
arjae,get_factors,False,124522,31968,0,0,0,999999,999999,103,0.256857855361596,101,0.2518703241895262
arjae,get_factors,False,165469,857092,0,0,0,999999,999999,10,0.02493765586034913,180,0.4488778054862843
arjae,get_factors,False,203711,200244,107,106,106,21,1,137,0.341645885286783,72,0.17955112219451372
arjae,get_factors,False,221943,429492,0,0,0,999999,999999,123,0.30673316708229426,86,0.2144638403990025
arjae,get_factors,False,26054,721111,0,0,0,999999,999999,130,0.32418952618453867,86,0.2144638403990025
arjae,get_factors,False,313420,146130,85,83,83,14,2,105,0.26184538653366585,94,0.2344139650872818
arjae,get_factors,False,314363,271501,0,0,0,999999,999999,71,0.1770573566084788,106,0.26433915211970077
arjae,get_factors,False,36631,237826,0,0,0,999999,999999,140,0.3491271820448878,62,0.1546134663341646
arjae,get_factors,False,425748,433171,53,53,53,107,2,117,0.29177057356608477,76,0.18952618453865336
arjae,get_factors,False,431078,650567,1,1,1,117,1,64,0.1596009975062344,129,0.32169576059850374
arjae,get_factors,False,488853,310336,70,70,70,77,1,129,0.32169576059850374,65,0.16209476309226933
arjae,get_factors,False,55504,705861,0,0,0,999999,999999,95,0.23690773067331672,81,0.20199501246882792
arjae,get_factors,False,629748,171992,31,31,31,222,6,116,0.2892768079800499,67,0.16708229426433915
arjae,get_factors,False,641442,32717,0,0,0,999999,999999,102,0.2543640897755611,77,0.19201995012468828
arjae,get_factors,False,721814,926019,10,10,10,319,8,103,0.256857855361596,93,0.23192019950124687
arjae,get_factors,False,725454,303792,18,17,17,9,1,62,0.1546134663341646,106,0.26433915211970077
arjae,get_factors,False,812520,960965,16,16,16,278,9,128,0.3192019950124688,79,0.1970074812967581
arjae,get_factors,False,822259,199163,0,0,0,999999,999999,2,0.004987531172069825,195,0.486284289276808
arjae,get_factors,False,981798,221474,1,1,1,9,2,161,0.4014962593516209,45,0.11221945137157108
decision,get_factors,False,115179,255105,65,63,63,177,5,173,0.4314214463840399,62,0.1546134663341646
decision,get_factors,False,119447,770283,140,140,140,9,2,179,0.4463840399002494,64,0.1596009975062344
decision,get_factors,False,154704,699884,0,0,0,999999,999999,107,0.26683291770573564,72,0.17955112219451372
decision,get_factors,False,270125,568556,25,25,25,184,6,132,0.32917705735660846,70,0.1745635910224439
decision,get_factors,False,312841,27199,0,0,0,999999,999999,85,0.2119700748129676,111,0.27680798004987534
decision,get_factors,False,313966,664531,0,0,0,999999,999999,203,0.5062344139650873,53,0.13216957605985039
decision,get_factors,False,333363,135154,15,14,14,204,6,135,0.33665835411471323,60,0.14962593516209477
decision,get_factors,False,471775,385630,0,0,0,999999,999999,151,0.3765586034912718,66,0.16458852867830423
decision,get_factors,False,506880,945031,22,21,21,180,5,117,0.29177057356608477,60,0.14962593516209477
decision,get_factors,False,519324,587597,0,0,0,999999,999999,46,0.11471321695760599,136,0.33915211970074816
decision,get_factors,False,532439,675645,37,37,37,61,1,120,0.29925187032418954,112,0.2793017456359102
decision,get_factors,False,568566,820597,0,0,0,999999,999999,118,0.2942643391521197,98,0.24438902743142144
decision,get_factors,False,593881,701547,35,33,33,199,1,65,0.16209476309226933,133,0.3316708229426434
decision,get_factors,False,709607,759936,0,0,0,999999,999999,137,0.341645885286783,61,0.15211970074812967
decision,get_factors,False,772091,435345,0,0,0,999999,999999,97,0.24189526184538654,76,0.18952618453865336
decision,get_factors,False,839504,534790,1,1,1,370,12,162,0.40399002493765584,65,0.16209476309226933
decision,get_factors,False,858717,905601,0,0,0,999999,999999,120,0.29925187032418954,74,0.18453865336658354
decision,get_factors,False,860378,874378,0,0,0,999999,999999,73,0.18204488778054864,119,0.2967581047381546
decision,get_factors,False,861720,270670,0,0,0,999999,999999,187,0.46633416458852867,65,0.16209476309226933
decision,get_factors,False,948824,393956,1,1,1,153,5,172,0.428927680798005,49,0.12219451371571072
original,get_factors,False,111982,300580,0,0,0,999999,999999,124,0.3092269326683292,64,0.1596009975062344
original,get_factors,False,196914,430898,0,0,0,999999,999999,83,0.20698254364089774,105,0.26184538653366585
original,get_factors,False,199373,129554,1,1,1,388,10,145,0.36159600997506236,69,0.17206982543640897
original,get_factors,False,229486,649992,0,0,0,999999,999999,92,0.22942643391521197,105,0.26184538653366585
original,get_factors,False,322708,796782,0,0,0,999999,999999,181,0.4513715710723192,65,0.16209476309226933
original,get_factors,False,433249,802172,0,0,0,999999,999999,60,0.14962593516209477,119,0.2967581047381546
original,get_factors,False,440646,394598,115,115,115,4,2,155,0.3865336658354115,55,0.1371571072319202
original,get_factors,False,506342,297467,0,0,0,999999,999999,96,0.23940149625935161,131,0.3266832917705736
original,get_factors,False,524653,448877,0,0,0,999999,999999,106,0.26433915211970077,88,0.2194513715710723
original,get_factors,False,553836,893606,0,0,0,999999,999999,108,0.26932668329177056,71,0.1770573566084788
original,get_factors,False,57924,924891,0,0,0,999999,999999,119,0.2967581047381546,79,0.1970074812967581
original,get_factors,False,657580,819636,4,4,4,304,6,126,0.314214463840399,55,0.1371571072319202
original,get_factors,False,828099,539799,0,0,0,999999,999999,47,0.1172069825436409,140,0.3491271820448878
original,get_factors,False,880365,582918,2,2,2,339,1,26,0.06483790523690773,175,0.43640897755610975
original,get_factors,False,885232,597448,32,32,32,283,4,108,0.26932668329177056,79,0.1970074812967581
original,get_factors,False,912408,786223,9,9,9,310,6,45,0.11221945137157108,147,0.36658354114713215
original,get_factors,False,942323,279229,0,0,0,999999,999999,99,0.24688279301745636,132,0.32917705735660846
original,get_factors,False,967114,50198,0,0,0,999999,999999,115,0.286783042394015,87,0.2169576059850374
original,get_factors,False,987111,413830,66,63,63,23,2,94,0.2344139650872818,85,0.2119700748129676
original,get_factors,False,997013,42942,10,10,10,12,1,85,0.2119700748129676,92,0.22942643391521197
