fitness type,problem name,run with evosuite,mutation seed,selection seed,number of fixed patch,number of unique fixed patch,number of unique fixed patch passed evosuite,number of evaluations to find first fixed patch,minimum number of edits to find a fix,number of better patches,ratio of better patches,number of equal patches,ratio of equal patches
arjae,shortest_path_lengths,False,121455,286934,0,0,0,999999,999999,13,0.25,3,0.057692307692307696
arjae,shortest_path_lengths,False,125334,911831,0,0,0,999999,999999,68,0.46258503401360546,6,0.04081632653061224
arjae,shortest_path_lengths,False,21362,905631,0,0,0,999999,999999,143,0.45110410094637227,3,0.00946372239747634
arjae,shortest_path_lengths,False,213631,967925,0,0,0,999999,999999,69,0.44805194805194803,3,0.01948051948051948
arjae,shortest_path_lengths,False,238016,494519,0,0,0,999999,999999,206,0.5464190981432361,1,0.002652519893899204
arjae,shortest_path_lengths,False,242542,185475,0,0,0,999999,999999,216,0.5386533665835411,9,0.022443890274314215
arjae,shortest_path_lengths,False,287315,934991,0,0,0,999999,999999,97,0.3803921568627451,9,0.03529411764705882
arjae,shortest_path_lengths,False,310556,293354,0,0,0,999999,999999,122,0.5258620689655172,3,0.01293103448275862
arjae,shortest_path_lengths,False,386785,826797,0,0,0,999999,999999,185,0.4613466334164589,6,0.014962593516209476
arjae,shortest_path_lengths,False,418381,331444,0,0,0,999999,999999,28,0.27722772277227725,7,0.06930693069306931
arjae,shortest_path_lengths,False,524368,16974,0,0,0,999999,999999,304,0.7581047381546134,3,0.007481296758104738
arjae,shortest_path_lengths,False,529041,118789,0,0,0,999999,999999,187,0.46633416458852867,6,0.014962593516209476
arjae,shortest_path_lengths,False,531646,686868,0,0,0,999999,999999,52,0.3586206896551724,3,0.020689655172413793
arjae,shortest_path_lengths,False,545089,129738,0,0,0,999999,999999,248,0.6184538653366584,8,0.0199501246882793
arjae,shortest_path_lengths,False,603559,730481,0,0,0,999999,999999,69,0.3333333333333333,8,0.03864734299516908
arjae,shortest_path_lengths,False,644872,171636,0,0,0,999999,999999,133,0.4570446735395189,4,0.013745704467353952
arjae,shortest_path_lengths,False,665483,645422,0,0,0,999999,999999,13,0.21311475409836064,8,0.13114754098360656
arjae,shortest_path_lengths,False,743018,999755,0,0,0,999999,999999,31,0.484375,3,0.046875
arjae,shortest_path_lengths,False,887909,182791,0,0,0,999999,999999,184,0.45885286783042395,3,0.007481296758104738
arjae,shortest_path_lengths,False,987988,479956,0,0,0,999999,999999,9,0.2903225806451613,2,0.06451612903225806
decision,shortest_path_lengths,False,105877,743529,0,0,0,999999,999999,65,0.48148148148148145,1,0.007407407407407408
decision,shortest_path_lengths,False,139258,175157,0,0,0,999999,999999,266,0.6633416458852868,3,0.007481296758104738
