fitness type,problem name,run with evosuite,mutation seed,selection seed,number of fixed patch,number of unique fixed patch,number of unique fixed patch passed evosuite,number of evaluations to find first fixed patch,minimum number of edits to find a fix,number of better patches,ratio of better patches,number of equal patches,ratio of equal patches
arjae,sqrt,False,977701,628569,0,0,0,999999,999999,288,0.7182044887780549,11,0.02743142144638404
arjae,sqrt,False,147534,496178,0,0,0,999999,999999,276,0.6882793017456359,4,0.00997506234413965
decision,sqrt,False,7574,214521,0,0,0,999999,999999,226,0.5635910224438903,36,0.08977556109725686
original,sqrt,False,821095,322529,0,0,0,999999,999999,265,0.6608478802992519,16,0.0399002493765586
decision,sqrt,False,273357,966929,0,0,0,999999,999999,245,0.6109725685785536,18,0.04488778054862843
arjae,sqrt,False,652475,312288,0,0,0,999999,999999,279,0.6957605985037406,10,0.02493765586034913
original,sqrt,False,849689,770101,0,0,0,999999,999999,280,0.6982543640897756,21,0.05236907730673317
decision,sqrt,False,229685,805495,0,0,0,999999,999999,294,0.7331670822942643,3,0.007481296758104738
arjae,sqrt,False,82296,305915,0,0,0,999999,999999,284,0.7082294264339152,10,0.02493765586034913
original,sqrt,False,734376,821323,0,0,0,999999,999999,288,0.7182044887780549,11,0.02743142144638404
arjae,sqrt,False,437059,418002,0,0,0,999999,999999,300,0.7481296758104738,5,0.012468827930174564
decision,sqrt,False,570949,76841,0,0,0,999999,999999,295,0.7356608478802993,3,0.007481296758104738
arjae,sqrt,False,535390,46385,0,0,0,999999,999999,319,0.7955112219451371,8,0.0199501246882793
arjae,sqrt,False,512252,819425,71,62,16,212,8,280,0.6982543640897756,9,0.022443890274314215
arjae,sqrt,False,617831,917804,0,0,0,999999,999999,303,0.7556109725685786,4,0.00997506234413965
original,sqrt,False,653687,662029,0,0,0,999999,999999,281,0.7007481296758105,11,0.02743142144638404
original,sqrt,False,320225,5592,0,0,0,999999,999999,253,0.6309226932668329,20,0.04987531172069826
decision,sqrt,False,26644,563833,1,1,0,387,10,189,0.4713216957605985,19,0.04738154613466334
original,sqrt,False,961346,755489,0,0,0,999999,999999,279,0.6957605985037406,8,0.0199501246882793
arjae,sqrt,False,134395,438435,0,0,0,999999,999999,263,0.655860349127182,10,0.02493765586034913
decision,sqrt,False,130136,476401,0,0,0,999999,999999,316,0.7880299251870324,5,0.012468827930174564
decision,sqrt,False,869469,386083,0,0,0,999999,999999,287,0.71571072319202,6,0.014962593516209476
decision,sqrt,False,17780,337192,0,0,0,999999,999999,263,0.655860349127182,15,0.03740648379052369
original,sqrt,False,597966,191395,0,0,0,999999,999999,292,0.7281795511221946,9,0.022443890274314215
arjae,sqrt,False,462574,985603,0,0,0,999999,999999,259,0.6458852867830424,10,0.02493765586034913
arjae,sqrt,False,222785,467709,0,0,0,999999,999999,278,0.6932668329177057,8,0.0199501246882793
decision,sqrt,False,344060,283273,21,16,0,300,9,304,0.7581047381546134,8,0.0199501246882793
